blockno	trialno	time	Xmouse	Ymouse	Xcursor	Ycursor	Xtarget	Ytarget	target_angle	rotation	jitter	feedback
1	15	1.1669	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.1836	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.2002	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.2169	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.2336	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.2503	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.2669	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.2836	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.3003	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.3169	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.3336	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.3503	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.367	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.3836	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.4003	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.417	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.4336	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.4503	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.467	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.4837	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.5003	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.517	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.5337	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.5504	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.567	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.5837	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.6004	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.617	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.6337	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.6504	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.667	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.6837	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.7004	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.7171	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.7337	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.7504	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.7671	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.7837	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.8004	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.8171	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.8337	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.8504	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.8671	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.8837	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.9004	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.9171	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.9338	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.9504	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.9671	-8	2	-8	2	0	426.67	90	0	0	0
1	15	1.9838	-8	2	-8	2	0	426.67	90	0	0	0
1	15	2.0004	-8	2	-8	2	0	426.67	90	0	0	0
1	15	2.0171	-8	2	-8	2	0	426.67	90	0	0	0
1	15	2.0338	-8	2	-8	2	0	426.67	90	0	0	0
1	15	2.0505	-8	2	-8	2	0	426.67	90	0	0	0
1	15	2.0672	-8	2	-8	2	0	426.67	90	0	0	0
1	15	2.0838	-8	2	-8	2	0	426.67	90	0	0	0
1	15	2.1005	-8	5	-8	5	0	426.67	90	0	0	0
1	15	2.1171	-6	15	-6	15	0	426.67	90	0	0	0
1	15	2.1338	-5	21	-5	21	0	426.67	90	0	0	0
1	15	2.1505	-4	27	-4	27	0	426.67	90	0	0	0
1	15	2.1672	-4	31	-4	31	0	426.67	90	0	0	0
1	15	2.1838	-3	35	-3	35	0	426.67	90	0	0	0
1	15	2.2005	-3	37	-3	37	0	426.67	90	0	0	0
1	15	2.2172	-3	38	-3	38	0	426.67	90	0	0	0
1	15	2.2338	-3	39	-3	39	0	426.67	90	0	0	0
1	15	2.2505	-3	40	-3	40	0	426.67	90	0	0	0
1	15	2.2672	-3	41	-3	41	0	426.67	90	0	0	0
1	15	2.2838	-3	43	-3	43	0	426.67	90	0	0	0
1	15	2.3005	-3	43	-3	43	0	426.67	90	0	0	0
1	15	2.3172	-3	44	-3	44	0	426.67	90	0	0	0
1	15	2.3339	-3	46	-3	46	0	426.67	90	0	0	0
1	15	2.3505	-3	46	-3	46	0	426.67	90	0	0	0
1	15	2.3672	-3	46	-3	46	0	426.67	90	0	0	0
1	15	2.3839	-3	48	-3	48	0	426.67	90	0	0	0
1	15	2.4005	-3	49	-3	49	0	426.67	90	0	0	0
1	15	2.4172	-2	51	-2	51	0	426.67	90	0	0	0
1	15	2.4339	-2	53	-2	53	0	426.67	90	0	0	0
1	15	2.4506	-2	57	-2	57	0	426.67	90	0	0	0
1	15	2.4672	0	60	0	60	0	426.67	90	0	0	0
1	15	2.4839	0	60	0	60	0	426.67	90	0	0	0
1	15	2.5005	0	62	0	62	0	426.67	90	0	0	0
1	15	2.5172	0	62	0	62	0	426.67	90	0	0	0
1	15	2.5339	0	62	0	62	0	426.67	90	0	0	0
1	15	2.5506	0	62	0	62	0	426.67	90	0	0	0
1	15	2.5673	0	62	0	62	0	426.67	90	0	0	0
1	15	2.5839	0	62	0	62	0	426.67	90	0	0	0
1	15	2.6006	0	62	0	62	0	426.67	90	0	0	0
1	15	2.6173	0	62	0	62	0	426.67	90	0	0	0
1	15	2.6339	0	62	0	62	0	426.67	90	0	0	0
1	15	2.6506	0	62	0	62	0	426.67	90	0	0	0
1	15	2.6673	0	62	0	62	0	426.67	90	0	0	0
1	15	2.684	0	62	0	62	0	426.67	90	0	0	0
1	15	2.7006	0	62	0	62	0	426.67	90	0	0	0
1	15	2.7173	0	62	0	62	0	426.67	90	0	0	0
1	15	2.734	0	62	0	62	0	426.67	90	0	0	0
1	15	2.7506	0	62	0	62	0	426.67	90	0	0	0
1	15	2.7673	0	62	0	62	0	426.67	90	0	0	0
1	15	2.784	0	62	0	62	0	426.67	90	0	0	0
1	15	2.8006	0	62	0	62	0	426.67	90	0	0	0
1	15	2.8173	0	62	0	62	0	426.67	90	0	0	0
1	15	2.834	0	62	0	62	0	426.67	90	0	0	0
1	15	2.8506	0	62	0	62	0	426.67	90	0	0	0
1	15	2.8673	0	62	0	62	0	426.67	90	0	0	0
1	15	2.884	0	62	0	62	0	426.67	90	0	0	0
1	15	2.9007	0	62	0	62	0	426.67	90	0	0	0
1	15	2.9173	0	62	0	62	0	426.67	90	0	0	0
1	15	2.934	0	62	0	62	0	426.67	90	0	0	0
1	15	2.9507	0	62	0	62	0	426.67	90	0	0	0
1	15	2.9673	0	62	0	62	0	426.67	90	0	0	0
1	15	2.984	0	62	0	62	0	426.67	90	0	0	0
1	15	3.0007	0	62	0	62	0	426.67	90	0	0	0
1	15	3.0174	0	62	0	62	0	426.67	90	0	0	0
1	15	3.0341	0	63	0	63	0	426.67	90	0	0	0
1	15	3.0507	0	63	0	63	0	426.67	90	0	0	0
1	15	3.0674	0	63	0	63	0	426.67	90	0	0	0
1	15	3.084	0	63	0	63	0	426.67	90	0	0	0
1	15	3.1007	0	63	0	63	0	426.67	90	0	0	0
1	15	3.1174	0	63	0	63	0	426.67	90	0	0	0
1	15	3.1341	0	63	0	63	0	426.67	90	0	0	0
1	15	3.1507	0	63	0	63	0	426.67	90	0	0	0
1	15	3.1674	0	63	0	63	0	426.67	90	0	0	0
1	15	3.1841	0	63	0	63	0	426.67	90	0	0	0
1	15	3.2007	0	63	0	63	0	426.67	90	0	0	0
1	15	3.2174	0	63	0	63	0	426.67	90	0	0	0
1	15	3.2341	0	63	0	63	0	426.67	90	0	0	0
1	15	3.2507	0	63	0	63	0	426.67	90	0	0	0
1	15	3.2674	0	63	0	63	0	426.67	90	0	0	0
1	15	3.2841	0	63	0	63	0	426.67	90	0	0	0
1	15	3.3008	0	63	0	63	0	426.67	90	0	0	0
1	15	3.3174	0	63	0	63	0	426.67	90	0	0	0
1	15	3.3341	0	63	0	63	0	426.67	90	0	0	0
1	15	3.3508	0	63	0	63	0	426.67	90	0	0	0
1	15	3.3674	0	63	0	63	0	426.67	90	0	0	0
1	15	3.3841	0	63	0	63	0	426.67	90	0	0	0
1	15	3.4008	0	63	0	63	0	426.67	90	0	0	0
1	15	3.4175	0	63	0	63	0	426.67	90	0	0	0
1	15	3.4341	0	63	0	63	0	426.67	90	0	0	0
1	15	3.4508	0	63	0	63	0	426.67	90	0	0	0
1	15	3.4675	0	63	0	63	0	426.67	90	0	0	0
1	15	3.4841	0	63	0	63	0	426.67	90	0	0	0
1	15	3.5008	0	63	0	63	0	426.67	90	0	0	0
1	15	3.5175	0	63	0	63	0	426.67	90	0	0	0
1	15	3.5341	0	63	0	63	0	426.67	90	0	0	0
1	15	3.5508	0	63	0	63	0	426.67	90	0	0	0
1	15	3.5675	0	63	0	63	0	426.67	90	0	0	0
1	15	3.5842	0	63	0	63	0	426.67	90	0	0	0
1	15	3.6008	0	63	0	63	0	426.67	90	0	0	0
1	15	3.6175	0	63	0	63	0	426.67	90	0	0	0
1	15	3.6342	0	63	0	63	0	426.67	90	0	0	0
1	15	3.6508	0	63	0	63	0	426.67	90	0	0	0
1	15	3.6675	0	63	0	63	0	426.67	90	0	0	0
1	15	3.6842	0	63	0	63	0	426.67	90	0	0	0
1	15	3.7009	0	63	0	63	0	426.67	90	0	0	0
1	15	3.7175	0	63	0	63	0	426.67	90	0	0	0
1	15	3.7342	0	63	0	63	0	426.67	90	0	0	0
1	15	3.7509	0	63	0	63	0	426.67	90	0	0	0
1	15	3.7675	0	63	0	63	0	426.67	90	0	0	0
1	15	3.7842	0	63	0	63	0	426.67	90	0	0	0
1	15	3.8009	0	63	0	63	0	426.67	90	0	0	0
1	15	3.8176	0	63	0	63	0	426.67	90	0	0	0
1	15	3.8342	0	63	0	63	0	426.67	90	0	0	0
1	15	3.8509	0	63	0	63	0	426.67	90	0	0	0
1	15	3.8675	0	63	0	63	0	426.67	90	0	0	0
1	15	3.8842	0	63	0	63	0	426.67	90	0	0	0
1	15	3.9009	0	63	0	63	0	426.67	90	0	0	0
1	15	3.9176	0	63	0	63	0	426.67	90	0	0	0
1	15	3.9342	0	63	0	63	0	426.67	90	0	0	0
1	15	3.9509	0	63	0	63	0	426.67	90	0	0	0
1	15	3.9676	0	63	0	63	0	426.67	90	0	0	0
1	15	3.9843	0	63	0	63	0	426.67	90	0	0	0
1	15	4.0009	0	63	0	63	0	426.67	90	0	0	0
1	15	4.0176	0	63	0	63	0	426.67	90	0	0	0
1	15	4.0343	0	63	0	63	0	426.67	90	0	0	0
